complaint_id,supplier_id,type,severity,resolved,month
COM_SUP000001_02_1,SUP000001,Product Quality Defect,LOW,True,Month_02
COM_SUP000001_06_1,SUP000001,Product Quality Defect,CRITICAL,True,Month_06
COM_SUP000001_06_2,SUP000001,Late Delivery Delay,LOW,True,Month_06
COM_SUP000001_06_3,SUP000001,Late Delivery Delay,LOW,False,Month_06
COM_SUP000001_06_4,SUP000001,Product Quality Defect,CRITICAL,True,Month_06
COM_SUP000001_08_1,SUP000001,Packaging Damage,LOW,True,Month_08
COM_SUP000001_08_2,SUP000001,Product Quality Defect,LOW,False,Month_08
COM_SUP000001_09_1,SUP000001,Customer Service Unresponsiveness,LOW,False,Month_09
COM_SUP000001_13_1,SUP000001,Product Quality Defect,CRITICAL,True,Month_13
COM_SUP000001_13_2,SUP000001,Packaging Damage,MEDIUM,False,Month_13
COM_SUP000001_14_1,SUP000001,Product Quality Defect,LOW,True,Month_14
COM_SUP000001_14_2,SUP000001,Late Delivery Delay,LOW,False,Month_14
COM_SUP000001_15_1,SUP000001,Packaging Damage,MEDIUM,False,Month_15
COM_SUP000001_15_2,SUP000001,Late Delivery Delay,LOW,True,Month_15
COM_SUP000001_21_1,SUP000001,Late Delivery Delay,MEDIUM,True,Month_21
COM_SUP000001_21_2,SUP000001,Customer Service Unresponsiveness,LOW,True,Month_21
COM_SUP000001_26_1,SUP000001,Product Quality Defect,LOW,False,Month_26
COM_SUP000001_26_2,SUP000001,Packaging Damage,MEDIUM,True,Month_26
COM_SUP000001_27_1,SUP000001,Product Quality Defect,CRITICAL,False,Month_27
COM_SUP000001_27_2,SUP000001,Product Quality Defect,CRITICAL,False,Month_27
COM_SUP000001_30_1,SUP000001,Product Quality Defect,LOW,True,Month_30
COM_SUP000001_31_1,SUP000001,Product Quality Defect,LOW,True,Month_31
COM_SUP000001_31_2,SUP000001,Invoicing Mismatch,LOW,True,Month_31
COM_SUP000001_33_1,SUP000001,Product Quality Defect,MEDIUM,True,Month_33
COM_SUP000001_34_1,SUP000001,Late Delivery Delay,LOW,True,Month_34
COM_SUP000001_34_2,SUP000001,Product Quality Defect,CRITICAL,True,Month_34
COM_SUP000001_35_1,SUP000001,Customer Service Unresponsiveness,LOW,False,Month_35
COM_SUP000001_35_2,SUP000001,Late Delivery Delay,MEDIUM,False,Month_35
COM_SUP000001_39_1,SUP000001,Product Quality Defect,CRITICAL,True,Month_39
COM_SUP000001_39_2,SUP000001,Late Delivery Delay,LOW,True,Month_39
COM_SUP000001_39_3,SUP000001,Late Delivery Delay,LOW,False,Month_39
COM_SUP000001_39_4,SUP000001,Late Delivery Delay,MEDIUM,True,Month_39
COM_SUP000001_41_1,SUP000001,Late Delivery Delay,HIGH,False,Month_41
COM_SUP000001_41_2,SUP000001,Product Quality Defect,CRITICAL,True,Month_41
COM_SUP000001_41_3,SUP000001,Late Delivery Delay,HIGH,True,Month_41
COM_SUP000001_41_4,SUP000001,Product Quality Defect,CRITICAL,False,Month_41
COM_SUP000001_44_1,SUP000001,Product Quality Defect,MEDIUM,False,Month_44
COM_SUP000001_44_2,SUP000001,Product Quality Defect,LOW,False,Month_44
COM_SUP000001_48_1,SUP000001,Late Delivery Delay,HIGH,False,Month_48
COM_SUP000001_48_2,SUP000001,Late Delivery Delay,HIGH,False,Month_48
COM_SUP000001_48_3,SUP000001,Late Delivery Delay,HIGH,True,Month_48
COM_SUP000001_51_1,SUP000001,Late Delivery Delay,LOW,False,Month_51
COM_SUP000001_54_1,SUP000001,Product Quality Defect,MEDIUM,False,Month_54
COM_SUP000001_54_2,SUP000001,Product Quality Defect,LOW,False,Month_54
COM_SUP000001_57_1,SUP000001,Product Quality Defect,LOW,False,Month_57
COM_SUP000001_59_1,SUP000001,Product Quality Defect,CRITICAL,True,Month_59
COM_SUP000005_03_1,SUP000005,Invoicing Mismatch,MEDIUM,True,Month_03
COM_SUP000005_05_1,SUP000005,Product Quality Defect,LOW,True,Month_05
COM_SUP000005_05_2,SUP000005,Product Quality Defect,LOW,True,Month_05
COM_SUP000005_53_1,SUP000005,Product Quality Defect,LOW,True,Month_53
COM_SUP000005_53_2,SUP000005,Customer Service Unresponsiveness,LOW,True,Month_53
COM_SUP000005_59_1,SUP000005,Late Delivery Delay,LOW,True,Month_59
COM_SUP000005_59_2,SUP000005,Late Delivery Delay,MEDIUM,True,Month_59
COM_SUP000006_06_1,SUP000006,Late Delivery Delay,MEDIUM,True,Month_06
COM_SUP000006_20_1,SUP000006,Late Delivery Delay,LOW,True,Month_20
COM_SUP000006_37_1,SUP000006,Customer Service Unresponsiveness,MEDIUM,True,Month_37
COM_SUP000006_37_2,SUP000006,Invoicing Mismatch,MEDIUM,True,Month_37
COM_SUP000007_04_1,SUP000007,Product Quality Defect,MEDIUM,True,Month_04
COM_SUP000007_24_1,SUP000007,Product Quality Defect,LOW,True,Month_24
COM_SUP000007_24_2,SUP000007,Product Quality Defect,MEDIUM,True,Month_24
COM_SUP000007_26_1,SUP000007,Late Delivery Delay,LOW,True,Month_26
COM_SUP000008_34_1,SUP000008,Product Quality Defect,LOW,True,Month_34
COM_SUP000008_34_2,SUP000008,Product Quality Defect,MEDIUM,True,Month_34
COM_SUP000008_47_1,SUP000008,Product Quality Defect,MEDIUM,True,Month_47
COM_SUP000008_47_2,SUP000008,Product Quality Defect,LOW,True,Month_47
COM_SUP000009_07_1,SUP000009,Customer Service Unresponsiveness,LOW,True,Month_07
COM_SUP000009_12_1,SUP000009,Product Quality Defect,MEDIUM,True,Month_12
COM_SUP000009_12_2,SUP000009,Product Quality Defect,LOW,False,Month_12
COM_SUP000009_15_1,SUP000009,Product Quality Defect,LOW,True,Month_15
COM_SUP000009_15_2,SUP000009,Product Quality Defect,MEDIUM,True,Month_15
COM_SUP000009_21_1,SUP000009,Product Quality Defect,LOW,True,Month_21
COM_SUP000009_21_2,SUP000009,Product Quality Defect,LOW,True,Month_21
COM_SUP000009_37_1,SUP000009,Product Quality Defect,MEDIUM,False,Month_37
COM_SUP000009_37_2,SUP000009,Invoicing Mismatch,LOW,False,Month_37
COM_SUP000010_01_1,SUP000010,Late Delivery Delay,LOW,True,Month_01
COM_SUP000010_03_1,SUP000010,Product Quality Defect,CRITICAL,True,Month_03
COM_SUP000010_03_2,SUP000010,Late Delivery Delay,HIGH,False,Month_03
COM_SUP000010_03_3,SUP000010,Late Delivery Delay,HIGH,True,Month_03
COM_SUP000010_04_1,SUP000010,Product Quality Defect,CRITICAL,True,Month_04
COM_SUP000010_04_2,SUP000010,Product Quality Defect,CRITICAL,True,Month_04
COM_SUP000010_10_1,SUP000010,Late Delivery Delay,LOW,True,Month_10
COM_SUP000010_10_2,SUP000010,Late Delivery Delay,LOW,False,Month_10
COM_SUP000010_10_3,SUP000010,Late Delivery Delay,MEDIUM,False,Month_10
COM_SUP000010_12_1,SUP000010,Customer Service Unresponsiveness,LOW,False,Month_12
COM_SUP000010_12_2,SUP000010,Product Quality Defect,CRITICAL,True,Month_12
COM_SUP000010_16_1,SUP000010,Product Quality Defect,CRITICAL,True,Month_16
COM_SUP000010_16_2,SUP000010,Customer Service Unresponsiveness,LOW,True,Month_16
COM_SUP000010_18_1,SUP000010,Product Quality Defect,CRITICAL,False,Month_18
