compliance_id,supplier_id,month,gst_compliant,iso9001,iso14001,audit_score,violations
CMP_SUP000001_01,SUP000001,Month_01,True,True,False,72.1,0
CMP_SUP000001_02,SUP000001,Month_02,True,True,False,72.3,0
CMP_SUP000001_03,SUP000001,Month_03,True,True,False,73.2,0
CMP_SUP000001_04,SUP000001,Month_04,True,True,False,74.4,0
CMP_SUP000001_05,SUP000001,Month_05,True,True,False,74.4,0
CMP_SUP000001_06,SUP000001,Month_06,True,True,False,73.8,0
CMP_SUP000001_07,SUP000001,Month_07,True,True,False,74.0,0
CMP_SUP000001_08,SUP000001,Month_08,True,True,False,73.1,0
CMP_SUP000001_09,SUP000001,Month_09,True,True,False,73.2,2
CMP_SUP000001_10,SUP000001,Month_10,True,True,False,74.6,0
CMP_SUP000001_11,SUP000001,Month_11,True,True,False,75.4,0
CMP_SUP000001_12,SUP000001,Month_12,True,True,False,75.2,0
CMP_SUP000001_13,SUP000001,Month_13,True,True,False,74.8,0
CMP_SUP000001_14,SUP000001,Month_14,True,True,False,74.7,0
CMP_SUP000001_15,SUP000001,Month_15,True,True,False,74.1,0
CMP_SUP000001_16,SUP000001,Month_16,True,True,False,75.0,0
CMP_SUP000001_17,SUP000001,Month_17,True,True,False,75.2,0
CMP_SUP000001_18,SUP000001,Month_18,True,True,False,75.4,0
CMP_SUP000001_19,SUP000001,Month_19,True,True,False,74.6,0
CMP_SUP000001_20,SUP000001,Month_20,True,True,False,75.1,0
CMP_SUP000001_21,SUP000001,Month_21,True,True,False,76.1,0
CMP_SUP000001_22,SUP000001,Month_22,True,True,False,76.8,0
CMP_SUP000001_23,SUP000001,Month_23,True,True,False,76.1,0
CMP_SUP000001_24,SUP000001,Month_24,True,True,False,76.4,0
CMP_SUP000001_25,SUP000001,Month_25,True,True,False,75.5,0
CMP_SUP000001_26,SUP000001,Month_26,True,True,False,76.1,0
CMP_SUP000001_27,SUP000001,Month_27,True,True,False,76.1,0
CMP_SUP000001_28,SUP000001,Month_28,True,True,False,75.6,0
CMP_SUP000001_29,SUP000001,Month_29,True,True,False,74.1,0
CMP_SUP000001_30,SUP000001,Month_30,True,True,False,75.5,0
CMP_SUP000001_31,SUP000001,Month_31,True,True,False,77.0,0
CMP_SUP000001_32,SUP000001,Month_32,True,True,False,76.2,0
CMP_SUP000001_33,SUP000001,Month_33,True,True,False,75.3,0
CMP_SUP000001_34,SUP000001,Month_34,True,True,False,75.5,0
CMP_SUP000001_35,SUP000001,Month_35,True,True,False,75.1,0
CMP_SUP000001_36,SUP000001,Month_36,True,True,False,74.7,0
CMP_SUP000001_37,SUP000001,Month_37,True,True,False,74.8,0
CMP_SUP000001_38,SUP000001,Month_38,True,True,False,73.5,0
CMP_SUP000001_39,SUP000001,Month_39,True,True,False,73.5,0
CMP_SUP000001_40,SUP000001,Month_40,True,True,False,74.7,0
CMP_SUP000001_41,SUP000001,Month_41,True,True,False,74.4,0
CMP_SUP000001_42,SUP000001,Month_42,True,True,False,73.6,0
CMP_SUP000001_43,SUP000001,Month_43,True,True,False,72.9,0
CMP_SUP000001_44,SUP000001,Month_44,True,True,False,73.1,0
CMP_SUP000001_45,SUP000001,Month_45,True,True,False,72.1,0
CMP_SUP000001_46,SUP000001,Month_46,True,True,False,71.7,0
CMP_SUP000001_47,SUP000001,Month_47,True,True,False,71.7,0
CMP_SUP000001_48,SUP000001,Month_48,True,True,False,72.3,0
CMP_SUP000001_49,SUP000001,Month_49,True,True,False,73.2,0
