delivery_id,supplier_id,order_id,expected_date,actual_date,delay_days,on_time,delivery_score,month
DEL_SUP000001_01,SUP000001,ORD_SUP000001_01,2021-01-15,2021-01-15,0,True,100,Month_01
DEL_SUP000001_02,SUP000001,ORD_SUP000001_02,2021-02-15,2021-02-15,0,True,100,Month_02
DEL_SUP000001_03,SUP000001,ORD_SUP000001_03,2021-03-15,2021-03-15,0,True,100,Month_03
DEL_SUP000001_04,SUP000001,ORD_SUP000001_04,2021-04-15,2021-04-15,0,True,100,Month_04
DEL_SUP000001_05,SUP000001,ORD_SUP000001_05,2021-05-15,2021-05-15,0,True,100,Month_05
DEL_SUP000001_06,SUP000001,ORD_SUP000001_06,2021-06-15,2021-06-23,8,False,60,Month_06
DEL_SUP000001_07,SUP000001,ORD_SUP000001_07,2021-07-15,2021-07-15,0,True,100,Month_07
DEL_SUP000001_08,SUP000001,ORD_SUP000001_08,2021-08-15,2021-08-15,0,True,100,Month_08
DEL_SUP000001_09,SUP000001,ORD_SUP000001_09,2021-09-15,2021-09-15,0,True,100,Month_09
DEL_SUP000001_10,SUP000001,ORD_SUP000001_10,2021-10-15,2021-10-15,0,True,100,Month_10
DEL_SUP000001_11,SUP000001,ORD_SUP000001_11,2021-11-15,2021-11-28,13,False,35,Month_11
DEL_SUP000001_12,SUP000001,ORD_SUP000001_12,2021-12-15,2021-12-15,0,True,100,Month_12
DEL_SUP000001_13,SUP000001,ORD_SUP000001_13,2022-01-15,2022-01-15,0,True,100,Month_13
DEL_SUP000001_14,SUP000001,ORD_SUP000001_14,2022-02-15,2022-02-15,0,True,100,Month_14
DEL_SUP000001_15,SUP000001,ORD_SUP000001_15,2022-03-15,2022-03-15,0,True,100,Month_15
DEL_SUP000001_16,SUP000001,ORD_SUP000001_16,2022-04-15,2022-04-15,0,True,100,Month_16
DEL_SUP000001_17,SUP000001,ORD_SUP000001_17,2022-05-15,2022-05-27,12,False,40,Month_17
DEL_SUP000001_18,SUP000001,ORD_SUP000001_18,2022-06-15,2022-06-15,0,True,100,Month_18
DEL_SUP000001_19,SUP000001,ORD_SUP000001_19,2022-07-15,2022-07-15,0,True,100,Month_19
DEL_SUP000001_20,SUP000001,ORD_SUP000001_20,2022-08-15,2022-08-21,6,False,70,Month_20
DEL_SUP000001_21,SUP000001,ORD_SUP000001_21,2022-09-15,2022-09-15,0,True,100,Month_21
DEL_SUP000001_22,SUP000001,ORD_SUP000001_22,2022-10-15,2022-10-15,0,True,100,Month_22
DEL_SUP000001_23,SUP000001,ORD_SUP000001_23,2022-11-15,2022-11-15,0,True,100,Month_23
