record_id,supplier_id,month,revenue,expenses,cash_flow,profit_margin,current_ratio,debt_ratio,working_capital
REC_SUP000001_01,SUP000001,Month_01,6531993.22,6815689.29,-258165.24,-0.0434,1.03,0.53,17682.56
REC_SUP000001_02,SUP000001,Month_02,6478187.4,6157758.27,324345.65,0.0495,1.04,0.53,18900.36
REC_SUP000001_03,SUP000001,Month_03,6166691.9,6042260.75,141990.51,0.0202,1.04,0.53,22771.92
REC_SUP000001_04,SUP000001,Month_04,6269113.7,6447768.98,-175193.29,-0.0285,1.04,0.53,18668.97
REC_SUP000001_05,SUP000001,Month_05,6040045.79,6090788.43,-42524.07,-0.0084,1.04,0.53,20506.6
REC_SUP000001_06,SUP000001,Month_06,6160597.44,6374592.62,-250201.88,-0.0347,1.05,0.52,27060.31
REC_SUP000001_07,SUP000001,Month_07,6110468.52,6356986.55,-270065.04,-0.0403,1.05,0.53,27099.53
REC_SUP000001_08,SUP000001,Month_08,6351154.54,6312040.05,36449.16,0.0062,1.05,0.52,23915.45
REC_SUP000001_09,SUP000001,Month_09,6435768.54,6274691.39,184793.64,0.025,1.06,0.53,33743.8
REC_SUP000001_10,SUP000001,Month_10,6464578.34,6560482.83,-98893.58,-0.0148,1.07,0.52,36470.77
REC_SUP000001_11,SUP000001,Month_11,6371142.56,6620752.21,-284093.07,-0.0392,1.08,0.52,40894.32
REC_SUP000001_12,SUP000001,Month_12,6197935.99,6007522.15,216702.77,0.0307,1.09,0.53,45882.79
REC_SUP000001_13,SUP000001,Month_13,6085937.59,5999091.77,70388.67,0.0143,1.1,0.54,51353.09
REC_SUP000001_14,SUP000001,Month_14,6012783.72,6204942.63,-207739.05,-0.032,1.09,0.54,46223.24
REC_SUP000001_15,SUP000001,Month_15,5710909.73,5499684.48,216828.73,0.037,1.07,0.54,35535.74
REC_SUP000001_16,SUP000001,Month_16,5808860.24,6081494.98,-299474.18,-0.0469,1.07,0.54,33555.8
REC_SUP000001_17,SUP000001,Month_17,5587699.49,5660309.91,-79046.5,-0.013,1.07,0.54,32742.71
REC_SUP000001_18,SUP000001,Month_18,5637724.87,5889951.7,-217662.67,-0.0447,1.08,0.55,35644.54
REC_SUP000001_19,SUP000001,Month_19,5754018.25,5660838.43,92645.4,0.0162,1.06,0.55,30785.48
REC_SUP000001_20,SUP000001,Month_20,5975077.66,6205824.7,-224278.15,-0.0386,1.07,0.55,34812.95
REC_SUP000001_21,SUP000001,Month_21,5930755.24,5831633.01,81098.53,0.0167,1.07,0.54,35719.15
REC_SUP000001_22,SUP000001,Month_22,5808379.57,5923722.75,-102020.3,-0.0199,1.06,0.54,28987.45
REC_SUP000001_23,SUP000001,Month_23,5971812.77,6265787.25,-323020.82,-0.0492,1.05,0.53,26341.61
REC_SUP000001_24,SUP000001,Month_24,5817558.07,5817405.45,172.97,0.0,1.03,0.54,16019.73
REC_SUP000001_25,SUP000001,Month_25,5752401.15,6015687.24,-212602.63,-0.0458,1.05,0.55,22136.13
REC_SUP000001_26,SUP000001,Month_26,5705488.87,5663610.76,45387.47,0.0073,1.03,0.55,13418.02
REC_SUP000001_27,SUP000001,Month_27,5324102.71,5417397.93,-104539.99,-0.0175,1.04,0.56,17771.97
REC_SUP000001_28,SUP000001,Month_28,5502784.6,5729427.85,-257873.28,-0.0412,1.04,0.55,19219.24
REC_SUP000001_29,SUP000001,Month_29,5262207.85,5317057.58,-50687.17,-0.0104,1.03,0.55,14519.07
REC_SUP000001_30,SUP000001,Month_30,5277960.38,5272427.35,4678.79,0.001,1.05,0.55,21135.78
REC_SUP000001_31,SUP000001,Month_31,5384595.79,5262161.33,138054.58,0.0227,1.04,0.56,15768.9
REC_SUP000001_32,SUP000001,Month_32,5365174.7,5527593.66,-169071.58,-0.0303,1.04,0.57,17771.28
REC_SUP000001_33,SUP000001,Month_33,5421360.55,5273439.76,147572.7,0.0273,1.05,0.58,22008.49
REC_SUP000001_34,SUP000001,Month_34,5557616.16,5321887.5,241809.68,0.0424,1.05,0.58,24120.7
REC_SUP000001_35,SUP000001,Month_35,5743049.56,5669987.97,62860.94,0.0127,1.05,0.57,22869.87
REC_SUP000001_36,SUP000001,Month_36,5289836.16,5409030.1,-98033.3,-0.0225,1.04,0.57,16744.36
REC_SUP000001_37,SUP000001,Month_37,5228939.98,5460639.52,-262441.11,-0.0443,1.05,0.57,22340.59
REC_SUP000001_38,SUP000001,Month_38,5402928.83,5340790.62,62313.89,0.0115,1.05,0.57,23274.12
REC_SUP000001_39,SUP000001,Month_39,5195152.02,4989488.02,201528.81,0.0396,1.06,0.58,24338.09
REC_SUP000001_40,SUP000001,Month_40,4945945.12,4957998.87,-10370.38,-0.0024,1.04,0.57,15495.34
REC_SUP000001_41,SUP000001,Month_41,5011491.25,5089952.27,-85187.19,-0.0157,1.02,0.57,9257.78
REC_SUP000001_42,SUP000001,Month_42,4939952.92,4970700.04,-30002.08,-0.0062,1.01,0.57,2636.63
REC_SUP000001_43,SUP000001,Month_43,5022445.1,5131485.61,-105061.38,-0.0217,1.01,0.57,3583.97
REC_SUP000001_44,SUP000001,Month_44,5194131.78,5117619.43,63227.1,0.0147,1.01,0.56,6048.27
REC_SUP000001_45,SUP000001,Month_45,5082618.31,4968903.03,120836.77,0.0224,1.03,0.57,11570.37
REC_SUP000001_46,SUP000001,Month_46,5140473.86,5097941.83,36431.72,0.0083,1.04,0.57,19155.6
REC_SUP000001_47,SUP000001,Month_47,5297121.6,5354352.77,-59406.9,-0.0108,1.03,0.58,15410.09
REC_SUP000001_48,SUP000001,Month_48,4949150.96,4804803.05,162430.93,0.0292,1.05,0.59,19258.27
