order_id,supplier_id,order_value,quantity,category,status,month
ORD_SUP000001_01,SUP000001,4681969.6,115720,Mechanical Parts,Delivered,Month_01
ORD_SUP000001_02,SUP000001,5116886.0,47582,Mechanical Parts,Delivered,Month_02
ORD_SUP000001_03,SUP000001,5341646.14,194768,Mechanical Parts,Delivered,Month_03
ORD_SUP000001_04,SUP000001,5529991.41,33479,Mechanical Parts,Delivered,Month_04
ORD_SUP000001_05,SUP000001,5296672.92,28356,Mechanical Parts,Delivered,Month_05
ORD_SUP000001_06,SUP000001,4823620.77,56531,Mechanical Parts,Delivered,Month_06
ORD_SUP000001_07,SUP000001,4734343.94,56786,Mechanical Parts,Delivered,Month_07
ORD_SUP000001_08,SUP000001,4549465.93,86389,Mechanical Parts,Delivered,Month_08
ORD_SUP000001_09,SUP000001,4915234.4,170515,Mechanical Parts,Delivered,Month_09
ORD_SUP000001_10,SUP000001,5449257.19,73933,Mechanical Parts,Delivered,Month_10
ORD_SUP000001_11,SUP000001,4645899.98,268897,Mechanical Parts,Delivered,Month_11
ORD_SUP000001_12,SUP000001,5475747.74,54885,Mechanical Parts,Delivered,Month_12
ORD_SUP000001_13,SUP000001,5271773.62,34192,Mechanical Parts,Delivered,Month_13
ORD_SUP000001_14,SUP000001,4773080.15,37608,Mechanical Parts,Delivered,Month_14
ORD_SUP000001_15,SUP000001,5032290.88,369729,Mechanical Parts,Delivered,Month_15
ORD_SUP000001_16,SUP000001,4316743.82,112389,Mechanical Parts,Delivered,Month_16
ORD_SUP000001_17,SUP000001,4962129.65,39479,Mechanical Parts,Delivered,Month_17
ORD_SUP000001_18,SUP000001,4423646.19,28091,Mechanical Parts,Delivered,Month_18
ORD_SUP000001_19,SUP000001,4301290.02,129747,Mechanical Parts,Delivered,Month_19
ORD_SUP000001_20,SUP000001,4467493.27,33998,Mechanical Parts,Delivered,Month_20
ORD_SUP000001_21,SUP000001,4890276.08,222960,Mechanical Parts,Delivered,Month_21
ORD_SUP000001_22,SUP000001,5037825.67,47994,Mechanical Parts,Delivered,Month_22
ORD_SUP000001_23,SUP000001,4820511.51,37060,Mechanical Parts,Delivered,Month_23
ORD_SUP000001_24,SUP000001,4741365.04,32359,Mechanical Parts,Delivered,Month_24
ORD_SUP000001_25,SUP000001,4361783.47,423588,Mechanical Parts,Delivered,Month_25
ORD_SUP000001_26,SUP000001,4396439.81,37123,Mechanical Parts,Delivered,Month_26
ORD_SUP000001_27,SUP000001,3926327.6,28667,Mechanical Parts,Delivered,Month_27
ORD_SUP000001_28,SUP000001,4428073.77,56398,Mechanical Parts,Delivered,Month_28
ORD_SUP000001_29,SUP000001,4686947.16,41340,Mechanical Parts,Delivered,Month_29
ORD_SUP000001_30,SUP000001,4524702.9,42506,Mechanical Parts,Delivered,Month_30
ORD_SUP000001_31,SUP000001,3791115.46,21548,Mechanical Parts,Delivered,Month_31
ORD_SUP000001_32,SUP000001,3802336.25,45532,Mechanical Parts,Delivered,Month_32
ORD_SUP000001_33,SUP000001,4199713.75,27631,Mechanical Parts,Delivered,Month_33
ORD_SUP000001_34,SUP000001,4287249.45,187738,Mechanical Parts,Delivered,Month_34
ORD_SUP000001_35,SUP000001,4297094.32,31865,Mechanical Parts,Delivered,Month_35
ORD_SUP000001_36,SUP000001,3812558.29,31623,Mechanical Parts,Delivered,Month_36
ORD_SUP000001_37,SUP000001,4451583.72,125936,Mechanical Parts,Delivered,Month_37
ORD_SUP000001_38,SUP000001,4162739.52,56008,Mechanical Parts,Delivered,Month_38
ORD_SUP000001_39,SUP000001,4304490.6,25656,Mechanical Parts,Delivered,Month_39
ORD_SUP000001_40,SUP000001,4139442.06,21081,Mechanical Parts,Delivered,Month_40
