quality_id,supplier_id,month,inspection_score,defect_rate,return_rate,complaints
QUA_SUP000001_01,SUP000001,Month_01,64.2,3.9,2.51,0
QUA_SUP000001_02,SUP000001,Month_02,76.2,3.12,2.39,1
QUA_SUP000001_03,SUP000001,Month_03,68.6,6.62,5.06,0
QUA_SUP000001_04,SUP000001,Month_04,73.0,3.39,2.35,0
QUA_SUP000001_05,SUP000001,Month_05,80.0,6.23,4.72,0
QUA_SUP000001_06,SUP000001,Month_06,75.8,6.71,4.17,4
QUA_SUP000001_07,SUP000001,Month_07,79.5,5.89,4.33,0
QUA_SUP000001_08,SUP000001,Month_08,74.2,4.55,3.93,2
QUA_SUP000001_09,SUP000001,Month_09,76.0,5.88,3.85,1
QUA_SUP000001_10,SUP000001,Month_10,79.4,4.95,4.32,0
QUA_SUP000001_11,SUP000001,Month_11,63.0,3.56,2.3,0
QUA_SUP000001_12,SUP000001,Month_12,65.0,4.45,3.62,0
QUA_SUP000001_13,SUP000001,Month_13,68.2,7.23,6.28,2
QUA_SUP000001_14,SUP000001,Month_14,77.2,4.13,3.26,2
QUA_SUP000001_15,SUP000001,Month_15,71.9,3.56,2.46,2
QUA_SUP000001_16,SUP000001,Month_16,71.6,5.26,3.42,0
QUA_SUP000001_17,SUP000001,Month_17,78.9,3.69,2.95,0
QUA_SUP000001_18,SUP000001,Month_18,75.0,5.72,4.88,0
QUA_SUP000001_19,SUP000001,Month_19,72.1,6.71,4.09,0
QUA_SUP000001_20,SUP000001,Month_20,62.8,5.89,4.55,0
QUA_SUP000001_21,SUP000001,Month_21,73.7,6.45,4.68,2
QUA_SUP000001_22,SUP000001,Month_22,73.5,5.24,4.13,0
QUA_SUP000001_23,SUP000001,Month_23,67.2,7.3,5.44,0
QUA_SUP000001_24,SUP000001,Month_24,76.5,6.08,4.19,0
QUA_SUP000001_25,SUP000001,Month_25,63.3,3.27,2.39,0
QUA_SUP000001_26,SUP000001,Month_26,70.7,3.92,3.06,2
QUA_SUP000001_27,SUP000001,Month_27,67.6,6.23,5.11,2
QUA_SUP000001_28,SUP000001,Month_28,77.5,7.39,4.72,0
QUA_SUP000001_29,SUP000001,Month_29,68.7,5.53,3.85,0
QUA_SUP000001_30,SUP000001,Month_30,70.4,4.2,2.83,1
QUA_SUP000001_31,SUP000001,Month_31,63.7,4.31,3.08,2
QUA_SUP000001_32,SUP000001,Month_32,73.1,4.12,3.54,0
QUA_SUP000001_33,SUP000001,Month_33,64.9,4.47,3.46,1
QUA_SUP000001_34,SUP000001,Month_34,67.6,6.43,4.82,2
QUA_SUP000001_35,SUP000001,Month_35,71.3,5.24,3.63,2
QUA_SUP000001_36,SUP000001,Month_36,62.4,7.25,5.45,0
QUA_SUP000001_37,SUP000001,Month_37,79.4,3.97,2.8,0
QUA_SUP000001_38,SUP000001,Month_38,62.9,5.23,4.52,0
QUA_SUP000001_39,SUP000001,Month_39,73.8,5.12,3.89,4
QUA_SUP000001_40,SUP000001,Month_40,77.2,4.94,4.27,0
QUA_SUP000001_41,SUP000001,Month_41,75.1,6.44,4.57,4
QUA_SUP000001_42,SUP000001,Month_42,69.2,5.57,3.66,0
QUA_SUP000001_43,SUP000001,Month_43,72.0,3.33,2.5,0
QUA_SUP000001_44,SUP000001,Month_44,75.8,4.26,3.82,2
QUA_SUP000001_45,SUP000001,Month_45,74.2,3.53,3.15,0
QUA_SUP000001_46,SUP000001,Month_46,69.1,6.58,4.62,0
QUA_SUP000001_47,SUP000001,Month_47,78.9,6.4,4.22,0
QUA_SUP000001_48,SUP000001,Month_48,71.2,5.25,3.22,3
QUA_SUP000001_49,SUP000001,Month_49,64.5,4.5,3.34,0
QUA_SUP000001_50,SUP000001,Month_50,70.2,5.73,4.32,0
QUA_SUP000001_51,SUP000001,Month_51,67.9,5.76,3.74,1
QUA_SUP000001_52,SUP000001,Month_52,79.8,6.33,4.36,0
QUA_SUP000001_53,SUP000001,Month_53,68.1,6.73,5.11,0
QUA_SUP000001_54,SUP000001,Month_54,74.8,4.35,3.67,2
QUA_SUP000001_55,SUP000001,Month_55,68.6,6.03,5.39,0
QUA_SUP000001_56,SUP000001,Month_56,72.5,6.59,5.38,0
QUA_SUP000001_57,SUP000001,Month_57,74.4,3.12,2.32,1
QUA_SUP000001_58,SUP000001,Month_58,79.4,6.52,5.43,0
QUA_SUP000001_59,SUP000001,Month_59,72.4,6.25,4.84,1
QUA_SUP000001_60,SUP000001,Month_60,65.1,5.83,4.58,0
QUA_SUP000002_01,SUP000002,Month_01,98.5,0.59,0.38,0
QUA_SUP000002_02,SUP000002,Month_02,99.8,0.47,0.39,0
QUA_SUP000002_03,SUP000002,Month_03,98.6,0.22,0.14,0
QUA_SUP000002_04,SUP000002,Month_04,98.9,0.29,0.25,0
QUA_SUP000002_05,SUP000002,Month_05,98.9,0.12,0.1,0
QUA_SUP000002_06,SUP000002,Month_06,96.4,0.14,0.12,0
QUA_SUP000002_07,SUP000002,Month_07,97.9,0.15,0.11,0
QUA_SUP000002_08,SUP000002,Month_08,96.8,0.45,0.35,0
QUA_SUP000002_09,SUP000002,Month_09,96.8,0.28,0.18,0
QUA_SUP000002_10,SUP000002,Month_10,97.9,0.61,0.41,0
QUA_SUP000002_11,SUP000002,Month_11,97.5,0.13,0.11,0
QUA_SUP000002_12,SUP000002,Month_12,96.2,0.43,0.31,0
QUA_SUP000002_13,SUP000002,Month_13,95.8,0.75,0.64,0
QUA_SUP000002_14,SUP000002,Month_14,97.8,0.74,0.61,0
QUA_SUP000002_15,SUP000002,Month_15,97.1,0.33,0.24,0
QUA_SUP000002_16,SUP000002,Month_16,98.6,0.29,0.18,0
QUA_SUP000002_17,SUP000002,Month_17,96.9,0.45,0.39,0
QUA_SUP000002_18,SUP000002,Month_18,95.9,0.66,0.59,0
QUA_SUP000002_19,SUP000002,Month_19,99.8,0.15,0.11,0
QUA_SUP000002_20,SUP000002,Month_20,96.4,0.69,0.48,0
QUA_SUP000002_21,SUP000002,Month_21,97.8,0.11,0.07,0
QUA_SUP000002_22,SUP000002,Month_22,97.8,0.31,0.25,0
QUA_SUP000002_23,SUP000002,Month_23,97.3,0.51,0.38,0
QUA_SUP000002_24,SUP000002,Month_24,98.9,0.24,0.21,0
QUA_SUP000002_25,SUP000002,Month_25,98.8,0.27,0.16,0
QUA_SUP000002_26,SUP000002,Month_26,97.1,0.26,0.19,0
QUA_SUP000002_27,SUP000002,Month_27,99.2,0.71,0.63,0
QUA_SUP000002_28,SUP000002,Month_28,95.0,0.56,0.48,0
QUA_SUP000002_29,SUP000002,Month_29,98.6,0.17,0.13,0
QUA_SUP000002_30,SUP000002,Month_30,96.2,0.44,0.27,0
QUA_SUP000002_31,SUP000002,Month_31,100.0,0.6,0.38,0
QUA_SUP000002_32,SUP000002,Month_32,99.6,0.73,0.55,0
QUA_SUP000002_33,SUP000002,Month_33,98.5,0.36,0.32,0
QUA_SUP000002_34,SUP000002,Month_34,95.4,0.17,0.11,0
QUA_SUP000002_35,SUP000002,Month_35,99.1,0.15,0.12,0
QUA_SUP000002_36,SUP000002,Month_36,97.2,0.77,0.52,0
QUA_SUP000002_37,SUP000002,Month_37,96.3,0.32,0.27,0
QUA_SUP000002_38,SUP000002,Month_38,98.5,0.61,0.43,0
QUA_SUP000002_39,SUP000002,Month_39,96.4,0.15,0.1,0
QUA_SUP000002_40,SUP000002,Month_40,98.9,0.51,0.33,0
QUA_SUP000002_41,SUP000002,Month_41,95.8,0.43,0.31,0
QUA_SUP000002_42,SUP000002,Month_42,97.7,0.78,0.51,0
QUA_SUP000002_43,SUP000002,Month_43,96.5,0.29,0.18,0
QUA_SUP000002_44,SUP000002,Month_44,95.8,0.58,0.49,0
QUA_SUP000002_45,SUP000002,Month_45,98.5,0.13,0.11,0
QUA_SUP000002_46,SUP000002,Month_46,96.6,0.16,0.11,0
QUA_SUP000002_47,SUP000002,Month_47,96.8,0.46,0.37,0
QUA_SUP000002_48,SUP000002,Month_48,96.3,0.79,0.48,0
QUA_SUP000002_49,SUP000002,Month_49,97.0,0.42,0.34,0
QUA_SUP000002_50,SUP000002,Month_50,96.2,0.42,0.36,0
QUA_SUP000002_51,SUP000002,Month_51,95.7,0.11,0.09,0
QUA_SUP000002_52,SUP000002,Month_52,99.9,0.19,0.16,0
QUA_SUP000002_53,SUP000002,Month_53,96.9,0.54,0.43,0
QUA_SUP000002_54,SUP000002,Month_54,97.9,0.28,0.24,0
QUA_SUP000002_55,SUP000002,Month_55,95.1,0.15,0.13,0
QUA_SUP000002_56,SUP000002,Month_56,97.2,0.19,0.17,0
QUA_SUP000002_57,SUP000002,Month_57,99.1,0.33,0.2,0
QUA_SUP000002_58,SUP000002,Month_58,97.3,0.22,0.17,0
QUA_SUP000002_59,SUP000002,Month_59,99.1,0.38,0.23,0
QUA_SUP000002_60,SUP000002,Month_60,98.4,0.22,0.15,0
QUA_SUP000003_01,SUP000003,Month_01,99.8,0.78,0.57,0
QUA_SUP000003_02,SUP000003,Month_02,95.7,0.39,0.32,0
QUA_SUP000003_03,SUP000003,Month_03,98.7,0.31,0.25,0
QUA_SUP000003_04,SUP000003,Month_04,99.3,0.6,0.53,0
QUA_SUP000003_05,SUP000003,Month_05,98.2,0.24,0.19,0
QUA_SUP000003_06,SUP000003,Month_06,96.5,0.34,0.27,0
QUA_SUP000003_07,SUP000003,Month_07,99.9,0.56,0.49,0
QUA_SUP000003_08,SUP000003,Month_08,97.5,0.59,0.41,0
QUA_SUP000003_09,SUP000003,Month_09,95.6,0.35,0.26,0
QUA_SUP000003_10,SUP000003,Month_10,97.9,0.57,0.41,0
QUA_SUP000003_11,SUP000003,Month_11,98.7,0.69,0.47,0
QUA_SUP000003_12,SUP000003,Month_12,99.2,0.67,0.5,0
QUA_SUP000003_13,SUP000003,Month_13,95.1,0.2,0.16,0
QUA_SUP000003_14,SUP000003,Month_14,96.0,0.63,0.41,0
QUA_SUP000003_15,SUP000003,Month_15,96.4,0.28,0.23,0
QUA_SUP000003_16,SUP000003,Month_16,98.5,0.31,0.25,0
QUA_SUP000003_17,SUP000003,Month_17,95.2,0.67,0.42,0
QUA_SUP000003_18,SUP000003,Month_18,99.3,0.62,0.53,0
QUA_SUP000003_19,SUP000003,Month_19,98.7,0.49,0.33,0
QUA_SUP000003_20,SUP000003,Month_20,98.9,0.66,0.45,0
QUA_SUP000003_21,SUP000003,Month_21,98.3,0.75,0.54,0
QUA_SUP000003_22,SUP000003,Month_22,99.8,0.78,0.54,0
QUA_SUP000003_23,SUP000003,Month_23,97.8,0.11,0.07,0
QUA_SUP000003_24,SUP000003,Month_24,98.1,0.65,0.56,0
QUA_SUP000003_25,SUP000003,Month_25,99.1,0.74,0.6,0
QUA_SUP000003_26,SUP000003,Month_26,98.2,0.63,0.48,0
QUA_SUP000003_27,SUP000003,Month_27,98.0,0.64,0.57,0
QUA_SUP000003_28,SUP000003,Month_28,96.5,0.22,0.18,0
QUA_SUP000003_29,SUP000003,Month_29,95.9,0.22,0.17,0
QUA_SUP000003_30,SUP000003,Month_30,96.9,0.4,0.31,0
QUA_SUP000003_31,SUP000003,Month_31,95.7,0.51,0.34,0
QUA_SUP000003_32,SUP000003,Month_32,96.7,0.6,0.39,0
QUA_SUP000003_33,SUP000003,Month_33,95.8,0.33,0.2,0
QUA_SUP000003_34,SUP000003,Month_34,99.7,0.53,0.42,0
QUA_SUP000003_35,SUP000003,Month_35,97.5,0.5,0.35,0
QUA_SUP000003_36,SUP000003,Month_36,98.9,0.32,0.21,0
QUA_SUP000003_37,SUP000003,Month_37,95.9,0.15,0.11,0
QUA_SUP000003_38,SUP000003,Month_38,97.1,0.48,0.3,0
QUA_SUP000003_39,SUP000003,Month_39,96.1,0.25,0.17,0
QUA_SUP000003_40,SUP000003,Month_40,96.8,0.25,0.21,0
QUA_SUP000003_41,SUP000003,Month_41,97.7,0.8,0.68,0
QUA_SUP000003_42,SUP000003,Month_42,99.9,0.11,0.09,0
QUA_SUP000003_43,SUP000003,Month_43,97.2,0.73,0.57,0
QUA_SUP000003_44,SUP000003,Month_44,98.1,0.77,0.62,0
